Metric,Value,Class
Overall Accuracy,0.9482522861293906,Overall
Precision,0.9887898821500432,Non-Tor
Recall,0.9955143973375777,Non-Tor
F1_Score,0.9921407455476242,Non-Tor
Support,13822.0,Non-Tor
Precision,0.9040704070407041,NonVPN
Recall,0.8628727425451491,NonVPN
F1_Score,0.8829912968733211,NonVPN
Support,4762.0,NonVPN
Precision,0.9466019417475728,Tor
Recall,0.8297872340425532,Tor
F1_Score,0.8843537414965986,Tor
Support,235.0,Tor
Precision,0.8715945089757128,VPN
Recall,0.9005018546803404,VPN
F1_Score,0.8858124060957286,VPN
Support,4583.0,VPN
Macro_Avg_Precision,0.9277641849785082,Macro Avg
Macro_Avg_Recall,0.8971690571514052,Macro Avg
Macro_Avg_F1_Score,0.9113245475033181,Macro Avg
Weighted_Avg_Precision,0.9481756311576831,Weighted Avg
Weighted_Avg_Recall,0.9482522861293906,Weighted Avg
Weighted_Avg_F1_Score,0.9480247554507497,Weighted Avg
